gid	ttype	po	syn	tid	impact	eff
Zm00001d000180	mRNA	0.8008230452674897	syntenic	Zm00001d000180_T001	high	exon_loss_variant
Zm00001d002925	mRNA	0.8292055037727475	syntenic	Zm00001d002925_T002	high	exon_loss_variant
Zm00001d003813	mRNA	0.786570304638185	syntenic	Zm00001d003813_T001	high	exon_loss_variant
Zm00001d003878	mRNA	0.7545849420849421	syntenic	Zm00001d003878_T001	high	exon_loss_variant
Zm00001d006082	mRNA	0.9023448275862069	syntenic	Zm00001d006082_T001	high	exon_loss_variant
Zm00001d009750	mRNA	0.8009220299293842	syntenic	Zm00001d009750_T002	high	exon_loss_variant
Zm00001d009810	mRNA	0.7772319319792159	syntenic	Zm00001d009810_T003	high	exon_loss_variant
Zm00001d010216	mRNA	0.7589529699410327	syntenic	Zm00001d010216_T003	high	exon_loss_variant
Zm00001d010512	mRNA	0.9018036072144289	syntenic	Zm00001d010512_T001	high	exon_loss_variant
Zm00001d011149	mRNA	0.9150130286630588	syntenic	Zm00001d011149_T002	high	exon_loss_variant
Zm00001d012203	mRNA	0.7568671121009651	syntenic	Zm00001d012203_T001	high	exon_loss_variant
Zm00001d012640	mRNA	0.907928388746803	syntenic	Zm00001d012640_T010	high	exon_loss_variant
Zm00001d012708	mRNA	0.889229720518064	syntenic	Zm00001d012708_T001	high	exon_loss_variant
Zm00001d013412	mRNA	0.8961123390976466	syntenic	Zm00001d013412_T003	high	exon_loss_variant
Zm00001d014444	mRNA	0.7883503167171578	syntenic	Zm00001d014444_T001	high	exon_loss_variant
Zm00001d016156	mRNA	0.8938615617724233	syntenic	Zm00001d016156_T003	high	exon_loss_variant
Zm00001d017988	mRNA	0.9141653501843076	syntenic	Zm00001d017988_T002	high	exon_loss_variant
Zm00001d019169	mRNA	0.8560033881555729	syntenic	Zm00001d019169_T004	high	exon_loss_variant
Zm00001d020452	mRNA	0.9007923930269414	syntenic	Zm00001d020452_T001	high	exon_loss_variant
Zm00001d021685	mRNA	0.8622204064957614	syntenic	Zm00001d021685_T022	high	exon_loss_variant
Zm00001d022073	mRNA	0.8202133062468258	syntenic	Zm00001d022073_T001	high	exon_loss_variant
Zm00001d025111	mRNA	0.907582354390865	syntenic	Zm00001d025111_T007	high	exon_loss_variant
Zm00001d029552	mRNA	0.7804410354745925	syntenic	Zm00001d029552_T001	high	exon_loss_variant
Zm00001d029822	mRNA	0.8529629082311216	syntenic	Zm00001d029822_T001	high	exon_loss_variant
Zm00001d030554	mRNA	0.872876822254915	syntenic	Zm00001d030554_T015	high	exon_loss_variant
Zm00001d032499	mRNA	0.941620533467539	syntenic	Zm00001d032499_T001	high	exon_loss_variant
Zm00001d036261	mRNA	0.7794932977752824	syntenic	Zm00001d036261_T001	high	exon_loss_variant
Zm00001d041321	mRNA	0.8968497351547254	syntenic	Zm00001d041321_T001	high	exon_loss_variant
Zm00001d041556	mRNA	0.8680212337543475	syntenic	Zm00001d041556_T002	high	exon_loss_variant
Zm00001d041768	mRNA	0.9251254341952914	syntenic	Zm00001d041768_T001	high	exon_loss_variant
Zm00001d042158	mRNA	0.7909816815406294	syntenic	Zm00001d042158_T004	high	exon_loss_variant
Zm00001d042922	mRNA	0.971205597416577	syntenic	Zm00001d042922_T002	high	exon_loss_variant
Zm00001d043086	mRNA	0.9484536082474226	syntenic	Zm00001d043086_T002	high	exon_loss_variant
Zm00001d044552	mRNA	0.9466637640143681	syntenic	Zm00001d044552_T001	high	exon_loss_variant
Zm00001d045397	mRNA	0.9785545188692383	syntenic	Zm00001d045397_T001	high	exon_loss_variant
Zm00001d046331	mRNA	0.8218451749734889	syntenic	Zm00001d046331_T001	high	exon_loss_variant
Zm00001d048982	mRNA	0.8261676763728747	syntenic	Zm00001d048982_T001	high	exon_loss_variant
Zm00001d049398	mRNA	0.7760392340028024	syntenic	Zm00001d049398_T002	high	exon_loss_variant
Zm00001d050352	mRNA	0.8616071428571429	syntenic	Zm00001d050352_T001	high	exon_loss_variant
Zm00001d053223	mRNA	0.8870941426007505	syntenic	Zm00001d053223_T001	high	exon_loss_variant
Zm00001d053831	mRNA	0.7744058500914077	syntenic	Zm00001d053831_T001	high	exon_loss_variant
Zm00001d053974	mRNA	0.8583464981569247	syntenic	Zm00001d053974_T001	high	exon_loss_variant
ENSRNA049439691	tRNA	0.9864864864864865	syntenic	ENSRNA049439691-T1	high	frameshift_variant
ENSRNA049441214	tRNA	0.9863013698630136	syntenic	ENSRNA049441214-T1	high	frameshift_variant
ENSRNA049441369	tRNA	1	syntenic	ENSRNA049441369-T1	high	frameshift_variant
ENSRNA049442419	tRNA	0.9863013698630136	syntenic	ENSRNA049442419-T1	high	frameshift_variant
ENSRNA049442831	tRNA	1	syntenic	ENSRNA049442831-T1	high	frameshift_variant
ENSRNA049442838	tRNA	0.9864864864864865	syntenic	ENSRNA049442838-T1	high	frameshift_variant
ENSRNA049443881	tRNA	0.9864864864864865	syntenic	ENSRNA049443881-T1	high	frameshift_variant
ENSRNA049445441	tRNA	0.7638888888888888	syntenic	ENSRNA049445441-T1	high	frameshift_variant
ENSRNA049446399	tRNA	0.9878048780487805	syntenic	ENSRNA049446399-T1	high	frameshift_variant
ENSRNA049446780	tRNA	0.9863013698630136	syntenic	ENSRNA049446780-T1	high	frameshift_variant
ENSRNA049448868	tRNA	0.9864864864864865	syntenic	ENSRNA049448868-T1	high	frameshift_variant
ENSRNA049449434	tRNA	0.9863013698630136	syntenic	ENSRNA049449434-T1	high	frameshift_variant
ENSRNA049449652	tRNA	1	syntenic	ENSRNA049449652-T1	high	frameshift_variant
ENSRNA049450425	tRNA	1	syntenic	ENSRNA049450425-T1	high	frameshift_variant
ENSRNA049450586	tRNA	0.9885057471264368	syntenic	ENSRNA049450586-T1	high	frameshift_variant
Zm00001d000044	mRNA	0.9992922859164898	syntenic	Zm00001d000044_T001	high	frameshift_variant
Zm00001d000060	mRNA	1	syntenic	Zm00001d000060_T001	high	frameshift_variant
Zm00001d000137	mRNA	1	syntenic	Zm00001d000137_T003	high	frameshift_variant
Zm00001d000165	mRNA	1	syntenic	Zm00001d000165_T001	high	frameshift_variant
Zm00001d000178	mRNA	0.9790928419560595	syntenic	Zm00001d000178_T001	high	frameshift_variant
Zm00001d000193	mRNA	0.9798419609740364	syntenic	Zm00001d000193_T001	high	frameshift_variant
Zm00001d000224	mRNA	0.9366676531518201	syntenic	Zm00001d000224_T001	high	frameshift_variant
Zm00001d000238	mRNA	0.9989727786337956	syntenic	Zm00001d000238_T001	high	frameshift_variant
Zm00001d000388	mRNA	1	syntenic	Zm00001d000388_T001	high	frameshift_variant
Zm00001d001788	mRNA	0.9999165554072096	syntenic	Zm00001d001788_T004	high	frameshift_variant
Zm00001d001799	mRNA	0.9882214369846879	syntenic	Zm00001d001799_T001	high	frameshift_variant
Zm00001d001802	mRNA	0.9803079126387397	syntenic	Zm00001d001802_T001	high	frameshift_variant
Zm00001d001804	mRNA	0.9750497197613451	syntenic	Zm00001d001804_T005	high	frameshift_variant
Zm00001d001819	mRNA	0.9951768488745981	syntenic	Zm00001d001819_T001	high	frameshift_variant
Zm00001d001856	mRNA	0.965666474321985	syntenic	Zm00001d001856_T002	high	frameshift_variant
Zm00001d001859	mRNA	0.9986083191588062	syntenic	Zm00001d001859_T001	high	frameshift_variant
Zm00001d001864	mRNA	0.8447066002237364	syntenic	Zm00001d001864_T002	high	frameshift_variant
Zm00001d001866	mRNA	0.9375	syntenic	Zm00001d001866_T012	high	frameshift_variant
Zm00001d001871	mRNA	0.8200899550224887	syntenic	Zm00001d001871_T001	high	frameshift_variant
Zm00001d001879	mRNA	0.9879518072289156	syntenic	Zm00001d001879_T014	high	frameshift_variant
Zm00001d001897	mRNA	0.9137840670859538	syntenic	Zm00001d001897_T001	high	frameshift_variant
Zm00001d001903	mRNA	0.9681599407626805	syntenic	Zm00001d001903_T003	high	frameshift_variant
Zm00001d001906	mRNA	0.9845406360424028	syntenic	Zm00001d001906_T004	high	frameshift_variant
Zm00001d001907	mRNA	0.975517890772128	syntenic	Zm00001d001907_T001	high	frameshift_variant
Zm00001d001918	mRNA	1	syntenic	Zm00001d001918_T001	high	frameshift_variant
Zm00001d001921	mRNA	1	syntenic	Zm00001d001921_T001	high	frameshift_variant
Zm00001d001923	mRNA	0.9649747063362771	syntenic	Zm00001d001923_T004	high	frameshift_variant
Zm00001d001961	mRNA	0.9774964838255977	syntenic	Zm00001d001961_T001	high	frameshift_variant
Zm00001d001965	mRNA	1	syntenic	Zm00001d001965_T001	high	frameshift_variant
Zm00001d001968	mRNA	0.9826889786497404	syntenic	Zm00001d001968_T001	high	frameshift_variant
Zm00001d001974	mRNA	0.9423263015289336	syntenic	Zm00001d001974_T001	high	frameshift_variant
Zm00001d001976	mRNA	0.9815450643776824	syntenic	Zm00001d001976_T001	high	frameshift_variant
Zm00001d001984	mRNA	0.9704840613931524	syntenic	Zm00001d001984_T001	high	frameshift_variant
Zm00001d002075	mRNA	0.9647849462365592	syntenic	Zm00001d002075_T001	high	frameshift_variant
Zm00001d002091	mRNA	0.9730508474576272	syntenic	Zm00001d002091_T002	high	frameshift_variant
Zm00001d002093	mRNA	0.9882629107981221	syntenic	Zm00001d002093_T001	high	frameshift_variant
Zm00001d002100	mRNA	0.9896836313617606	syntenic	Zm00001d002100_T001	high	frameshift_variant
Zm00001d002138	mRNA	0.9886363636363636	syntenic	Zm00001d002138_T001	high	frameshift_variant
Zm00001d002139	mRNA	0.9994643813604713	syntenic	Zm00001d002139_T001	high	frameshift_variant
Zm00001d002153	mRNA	0.7649738100660441	syntenic	Zm00001d002153_T001	high	frameshift_variant
Zm00001d002161	mRNA	0.9470404984423676	syntenic	Zm00001d002161_T001	high	frameshift_variant
Zm00001d002181	mRNA	0.9996910719802286	syntenic	Zm00001d002181_T001	high	frameshift_variant
Zm00001d002184	mRNA	1	syntenic	Zm00001d002184_T003	high	frameshift_variant
Zm00001d002217	mRNA	0.9960202604920405	syntenic	Zm00001d002217_T001	high	frameshift_variant
Zm00001d002220	mRNA	0.8285714285714286	syntenic	Zm00001d002220_T001	high	frameshift_variant
Zm00001d002279	mRNA	0.9826132771338251	syntenic	Zm00001d002279_T001	high	frameshift_variant
Zm00001d002284	mRNA	0.9951830443159922	syntenic	Zm00001d002284_T003	high	frameshift_variant
Zm00001d002355	tRNA	1	syntenic	Zm00001d002355_T001	high	frameshift_variant
Zm00001d002361	mRNA	0.9615082482325216	syntenic	Zm00001d002361_T001	high	frameshift_variant
Zm00001d002365	mRNA	1	syntenic	Zm00001d002365_T001	high	frameshift_variant
Zm00001d002375	mRNA	0.8451612903225807	syntenic	Zm00001d002375_T001	high	frameshift_variant
Zm00001d002385	mRNA	0.9861248761149654	syntenic	Zm00001d002385_T002	high	frameshift_variant
Zm00001d002409	mRNA	0.9305153445280834	syntenic	Zm00001d002409_T002	high	frameshift_variant
Zm00001d002430	mRNA	0.9959100204498977	syntenic	Zm00001d002430_T001	high	frameshift_variant
Zm00001d002457	mRNA	0.9984309623430963	syntenic	Zm00001d002457_T002	high	frameshift_variant
Zm00001d002465	mRNA	0.9660777385159011	syntenic	Zm00001d002465_T001	high	frameshift_variant
Zm00001d002467	mRNA	0.9993201903467029	syntenic	Zm00001d002467_T001	high	frameshift_variant
Zm00001d002474	mRNA	0.9827405857740585	syntenic	Zm00001d002474_T001	high	frameshift_variant
Zm00001d002477	mRNA	0.9673366834170855	syntenic	Zm00001d002477_T001	high	frameshift_variant
Zm00001d002482	mRNA	0.993431855500821	syntenic	Zm00001d002482_T001	high	frameshift_variant
Zm00001d002492	mRNA	0.9988151658767772	syntenic	Zm00001d002492_T001	high	frameshift_variant
Zm00001d002505	mRNA	1	syntenic	Zm00001d002505_T001	high	frameshift_variant
Zm00001d002519	mRNA	0.992462311557789	syntenic	Zm00001d002519_T001	high	frameshift_variant
Zm00001d002529	tRNA	1	syntenic	Zm00001d002529_T001	high	frameshift_variant
Zm00001d002534	mRNA	0.9217601450005035	syntenic	Zm00001d002534_T001	high	frameshift_variant
