gid	ttype	po	syn	tid	impact	eff
Zm00001d000180	mRNA	0.8008230452674897	syntenic	Zm00001d000180_T001	high	exon_loss_variant
Zm00001d001923	mRNA	0.935179627883049	syntenic	Zm00001d001923_T004	high	exon_loss_variant
Zm00001d001952	mRNA	0.8773213280810355	syntenic	Zm00001d001952_T001	high	exon_loss_variant
Zm00001d003114	mRNA	0.8401398601398602	syntenic	Zm00001d003114_T001	high	exon_loss_variant
Zm00001d003290	mRNA	0.859286523216308	syntenic	Zm00001d003290_T002	high	exon_loss_variant
Zm00001d003613	mRNA	0.7712438663447309	syntenic	Zm00001d003613_T002	high	exon_loss_variant
Zm00001d003878	mRNA	0.7678571428571429	syntenic	Zm00001d003878_T001	high	exon_loss_variant
Zm00001d004171	mRNA	0.8196229648671808	syntenic	Zm00001d004171_T001	high	exon_loss_variant
Zm00001d004416	mRNA	0.8719666025949063	syntenic	Zm00001d004416_T001	high	exon_loss_variant
Zm00001d004554	mRNA	0.9079925650557621	syntenic	Zm00001d004554_T004	high	exon_loss_variant
Zm00001d004702	mRNA	0.8472065176422835	syntenic	Zm00001d004702_T006	high	exon_loss_variant
Zm00001d005076	mRNA	0.8981603153745072	syntenic	Zm00001d005076_T001	high	exon_loss_variant
Zm00001d006358	mRNA	0.764797507788162	syntenic	Zm00001d006358_T001	high	exon_loss_variant
Zm00001d006717	mRNA	0.8918228958915038	syntenic	Zm00001d006717_T008	high	exon_loss_variant
Zm00001d007111	mRNA	0.8273349525281519	syntenic	Zm00001d007111_T001	high	exon_loss_variant
Zm00001d007210	mRNA	0.8560369212446033	syntenic	Zm00001d007210_T001	high	exon_loss_variant
Zm00001d007504	mRNA	0.7689169895982052	syntenic	Zm00001d007504_T001	high	exon_loss_variant
Zm00001d008663	mRNA	0.7620146097654749	syntenic	Zm00001d008663_T001	high	exon_loss_variant
Zm00001d009075	mRNA	0.86558516801854	syntenic	Zm00001d009075_T001	high	exon_loss_variant
Zm00001d009856	mRNA	0.972877358490566	syntenic	Zm00001d009856_T005	high	exon_loss_variant
Zm00001d010235	mRNA	0.9771774569166278	syntenic	Zm00001d010235_T022	high	exon_loss_variant
Zm00001d011570	mRNA	0.8800173573443263	syntenic	Zm00001d011570_T002	high	exon_loss_variant
