gid	ttype	po	syn	tid	impact	eff
Zm00001d000180	mRNA	0.8008230452674897	syntenic	Zm00001d000180_T001	high	exon_loss_variant
Zm00001d002025	mRNA	0.7764207783748576	syntenic	Zm00001d002025_T001	high	exon_loss_variant
Zm00001d004348	mRNA	0.8565042467590523	syntenic	Zm00001d004348_T001	high	exon_loss_variant
Zm00001d004702	mRNA	0.8481922820445913	syntenic	Zm00001d004702_T006	high	exon_loss_variant
Zm00001d006082	mRNA	0.9023448275862069	syntenic	Zm00001d006082_T001	high	exon_loss_variant
Zm00001d006456	mRNA	0.7726277372262774	syntenic	Zm00001d006456_T001	high	exon_loss_variant
Zm00001d009750	mRNA	0.799056016977059	syntenic	Zm00001d009750_T002	high	exon_loss_variant
Zm00001d009856	mRNA	0.9722035040431267	syntenic	Zm00001d009856_T005	high	exon_loss_variant
Zm00001d010216	mRNA	0.7595282611822235	syntenic	Zm00001d010216_T003	high	exon_loss_variant
Zm00001d011014	mRNA	0.8690119760479041	syntenic	Zm00001d011014_T001	high	exon_loss_variant
Zm00001d012640	mRNA	0.8028644501278772	syntenic	Zm00001d012640_T010	high	exon_loss_variant
Zm00001d012708	mRNA	0.8694614860259032	syntenic	Zm00001d012708_T001	high	exon_loss_variant
Zm00001d014040	mRNA	0.8105236845394326	syntenic	Zm00001d014040_T001	high	exon_loss_variant
Zm00001d014444	mRNA	0.7537868355824842	syntenic	Zm00001d014444_T001	high	exon_loss_variant
Zm00001d016156	mRNA	0.8938615617724233	syntenic	Zm00001d016156_T003	high	exon_loss_variant
Zm00001d018748	mRNA	0.7963467829880043	syntenic	Zm00001d018748_T001	high	exon_loss_variant
Zm00001d019169	mRNA	0.8445683630973388	syntenic	Zm00001d019169_T004	high	exon_loss_variant
Zm00001d020452	mRNA	0.904701531959852	syntenic	Zm00001d020452_T001	high	exon_loss_variant
Zm00001d020593	mRNA	0.8710766537451544	syntenic	Zm00001d020593_T002	high	exon_loss_variant
Zm00001d020817	mRNA	0.864273420211458	syntenic	Zm00001d020817_T001	high	exon_loss_variant
Zm00001d020922	mRNA	0.87375	syntenic	Zm00001d020922_T001	high	exon_loss_variant
Zm00001d024301	mRNA	0.7687273739905319	syntenic	Zm00001d024301_T002	high	exon_loss_variant
Zm00001d026128	mRNA	0.7529226618705036	syntenic	Zm00001d026128_T001	high	exon_loss_variant
Zm00001d029183	mRNA	0.8568745304282495	syntenic	Zm00001d029183_T001	high	exon_loss_variant
