gid	ttype	po	syn	tid	impact	eff
ZePHBv11000015m.g	mRNA	0.9699901066285589	syntenic	ZePHBv11000015m	high	exon_loss_variant
ZePHBv11000018m.g	mRNA	0.8488372093023255	syntenic	ZePHBv11000018m	high	exon_loss_variant
ZePHBv11000529m.g	mRNA	0.7615252574791564	syntenic	ZePHBv11000529m	high	exon_loss_variant
ZePHBv11001732m.g	mRNA	0.8790879478827361	syntenic	ZePHBv11001732m	high	exon_loss_variant
ZePHBv11003361m.g	mRNA	0.835093382522481	syntenic	ZePHBv11003361m	high	exon_loss_variant
ZePHBv11004678m.g	mRNA	0.9697577344900966	syntenic	ZePHBv11004678m	high	exon_loss_variant
ZePHBv11004858m.g	mRNA	0.8537855429941761	syntenic	ZePHBv11004858m	high	exon_loss_variant
ZePHBv11005408m.g	mRNA	0.8878983730777803	syntenic	ZePHBv11005408m	high	exon_loss_variant
ZePHBv11010765m.g	mRNA	0.8258687258687258	syntenic	ZePHBv11010765m	high	exon_loss_variant
ZePHBv11011452m.g	mRNA	0.9878744650499287	syntenic	ZePHBv11011452m	high	exon_loss_variant
ZePHBv11012206m.g	mRNA	0.8670449939197405	syntenic	ZePHBv11012206m	high	exon_loss_variant
ZePHBv11012277m.g	mRNA	0.7694376952447067	syntenic	ZePHBv11012277m	high	exon_loss_variant
ZePHBv11016639m.g	mRNA	0.955435847208619	syntenic	ZePHBv11016639m	high	exon_loss_variant
ZePHBv11017987m.g	mRNA	0.8382488479262673	syntenic	ZePHBv11017987m	high	exon_loss_variant
ZePHBv11021797m.g	mRNA	0.9267096774193548	syntenic	ZePHBv11021797m	high	exon_loss_variant
ZePHBv11025443m.g	mRNA	0.8617320503330866	syntenic	ZePHBv11025443m	high	exon_loss_variant
ZePHBv11025988m.g	mRNA	0.8903456495828367	syntenic	ZePHBv11025988m	high	exon_loss_variant
ZePHBv11026743m.g	mRNA	0.8002803083391731	syntenic	ZePHBv11026743m	high	exon_loss_variant
