gid	ttype	po	syn	tid	impact	eff
Zm00004b000108	mRNA	0.9161676646706587	syntenic	Zm00004b000108_T001	high	exon_loss_variant
Zm00004b001062	mRNA	0.8559956196386201	syntenic	Zm00004b001062_T001	high	exon_loss_variant
Zm00004b001105	mRNA	0.7574878225722873	syntenic	Zm00004b001105_T001	high	exon_loss_variant
Zm00004b001113	mRNA	0.7965199324763018	syntenic	Zm00004b001113_T001	high	exon_loss_variant
Zm00004b001225	mRNA	0.9417348608837971	syntenic	Zm00004b001225_T001	high	exon_loss_variant
Zm00004b001617	mRNA	0.8197716938535407	syntenic	Zm00004b001617_T001	high	exon_loss_variant
Zm00004b001715	mRNA	0.871699196326062	syntenic	Zm00004b001715_T001	high	exon_loss_variant
Zm00004b002726	mRNA	0.8241102653774943	syntenic	Zm00004b002726_T001	high	exon_loss_variant
Zm00004b003018	mRNA	0.8944485025566107	syntenic	Zm00004b003018_T001	high	exon_loss_variant
Zm00004b003118	mRNA	0.8727773316507973	syntenic	Zm00004b003118_T001	high	exon_loss_variant
Zm00004b003306	mRNA	0.922769160135113	syntenic	Zm00004b003306_T001	high	exon_loss_variant
Zm00004b003619	mRNA	0.7790697674418605	syntenic	Zm00004b003619_T001	high	exon_loss_variant
Zm00004b003731	mRNA	0.8704482634298762	syntenic	Zm00004b003731_T001	high	exon_loss_variant
Zm00004b004176	mRNA	0.8002546554193857	syntenic	Zm00004b004176_T001	high	exon_loss_variant
Zm00004b005054	mRNA	0.8587795765877958	syntenic	Zm00004b005054_T001	high	exon_loss_variant
Zm00004b006441	mRNA	0.7763975155279503	syntenic	Zm00004b006441_T001	high	exon_loss_variant
Zm00004b006482	mRNA	0.8020862700873977	syntenic	Zm00004b006482_T001	high	exon_loss_variant
Zm00004b006739	mRNA	0.7694938440492476	syntenic	Zm00004b006739_T001	high	exon_loss_variant
Zm00004b008198	mRNA	0.936450745919838	syntenic	Zm00004b008198_T001	high	exon_loss_variant
Zm00004b008536	mRNA	0.7531261841606669	syntenic	Zm00004b008536_T001	high	exon_loss_variant
Zm00004b008990	mRNA	0.9778051787916153	syntenic	Zm00004b008990_T001	high	exon_loss_variant
Zm00004b009025	mRNA	0.7906165180302442	syntenic	Zm00004b009025_T001	high	exon_loss_variant
Zm00004b009029	mRNA	0.8746811578130198	syntenic	Zm00004b009029_T001	high	exon_loss_variant
