gid	ttype	po	syn	tid	impact	eff
SORBI_3001G078500	mRNA	0.8989990900818926	syntenic	EER93396	high	exon_loss_variant
SORBI_3001G083800	mRNA	0.7519177126917713	syntenic	EER93421	high	exon_loss_variant
SORBI_3001G364800	mRNA	0.772928821470245	syntenic	EER92235	high	exon_loss_variant
SORBI_3001G457300	mRNA	0.8753481894150418	syntenic	EER92646	high	exon_loss_variant
SORBI_3001G515600	mRNA	0.7659693686963018	syntenic	OQU93301	high	exon_loss_variant
SORBI_3001G533700	mRNA	0.8649668271107064	syntenic	KXG40349	high	exon_loss_variant
SORBI_3002G228700	mRNA	0.9691358024691358	syntenic	KXG35787	high	exon_loss_variant
SORBI_3002G263900	mRNA	0.827123695976155	syntenic	OQU89773	high	exon_loss_variant
SORBI_3002G270500	mRNA	0.7525083612040134	syntenic	EER99219	high	exon_loss_variant
SORBI_3002G309800	mRNA	0.9471890971039182	syntenic	KXG36270	high	exon_loss_variant
SORBI_3002G339800	mRNA	0.7679551820728291	syntenic	KXG36480	high	exon_loss_variant
SORBI_3003G218300	mRNA	0.8732356134636265	syntenic	KXG32883	high	exon_loss_variant
SORBI_3003G292300	mRNA	0.8795681063122923	syntenic	EES03590	high	exon_loss_variant
SORBI_3003G292400	mRNA	0.8964985685972253	syntenic	EES01460	high	exon_loss_variant
SORBI_3004G053000	mRNA	0.9203383856186113	syntenic	KXG29548	high	exon_loss_variant
SORBI_3004G309700	mRNA	0.750492125984252	syntenic	KXG31170	high	exon_loss_variant
SORBI_3004G355700	mRNA	0.807936813716047	syntenic	EES07809	high	exon_loss_variant
SORBI_3004G356700	mRNA	0.8253843121797398	syntenic	KXG31425	high	exon_loss_variant
SORBI_3006G116200	mRNA	0.7707386363636364	syntenic	EES10976	high	exon_loss_variant
SORBI_3006G125500	mRNA	0.8768479977034591	syntenic	EES12403	high	exon_loss_variant
SORBI_3006G257200	mRNA	0.8985153548911938	syntenic	EES13049	high	exon_loss_variant
SORBI_3001G003700	mRNA	0.9450171821305842	syntenic	EER90470	high	frameshift_variant
SORBI_3001G007400	mRNA	0.8627844712182061	syntenic	EER93075	high	frameshift_variant
SORBI_3001G007500	mRNA	0.8477596741344195	syntenic	EER90492	high	frameshift_variant
SORBI_3001G008700	mRNA	0.8186646433990895	syntenic	EER93081	high	frameshift_variant
SORBI_3001G011700	mRNA	0.7954806587514363	syntenic	EER93093	high	frameshift_variant
SORBI_3001G011800	mRNA	0.9671916010498688	syntenic	EER90512	high	frameshift_variant
SORBI_3001G015100	mRNA	0.803038829487901	syntenic	OQU90634	high	frameshift_variant
SORBI_3001G017200	mRNA	0.7965610859728507	syntenic	EER90539	high	frameshift_variant
SORBI_3001G020200	mRNA	0.9227539882451721	syntenic	KXG37177	high	frameshift_variant
SORBI_3001G022100	mRNA	0.871	syntenic	EER90563	high	frameshift_variant
SORBI_3001G023000	mRNA	0.8263670411985019	syntenic	KXG37190	high	frameshift_variant
SORBI_3001G026400	mRNA	0.8200359928014397	syntenic	EER90585	high	frameshift_variant
SORBI_3001G026700	mRNA	0.7755960729312763	syntenic	EER90586	high	frameshift_variant
SORBI_3001G029500	mRNA	0.8630662912720758	syntenic	KXG37228	high	frameshift_variant
SORBI_3001G029600	mRNA	0.9470198675496688	syntenic	KXG37229	high	frameshift_variant
SORBI_3001G033500	mRNA	0.8443720593557728	syntenic	KXG37252	high	frameshift_variant
SORBI_3001G034100	mRNA	0.9510104102878139	syntenic	EER90623	high	frameshift_variant
SORBI_3001G038700	mRNA	0.7829324169530355	syntenic	KXG37271	high	frameshift_variant
SORBI_3001G038800	mRNA	0.8088264996970309	syntenic	EER93209	high	frameshift_variant
SORBI_3001G044300	mRNA	0.7673985857834016	syntenic	OQU90776	high	frameshift_variant
SORBI_3001G049600	mRNA	0.7818564766059877	syntenic	EER93257	high	frameshift_variant
SORBI_3001G051300	mRNA	0.8867286559594252	syntenic	EER90712	high	frameshift_variant
SORBI_3001G052700	mRNA	0.7972886324081707	syntenic	EER93269	high	frameshift_variant
SORBI_3001G053900	mRNA	0.9676898222940227	syntenic	EER93275	high	frameshift_variant
SORBI_3001G054050	mRNA	0.9494626778971826	syntenic	OQU90829	high	frameshift_variant
SORBI_3001G058300	mRNA	0.9120819848975189	syntenic	EER90744	high	frameshift_variant
SORBI_3001G059900	mRNA	0.925477955520874	syntenic	EER93309	high	frameshift_variant
SORBI_3001G061400	mRNA	0.8995394358088659	syntenic	KXG37385	high	frameshift_variant
SORBI_3001G066600	mRNA	0.9907692307692307	syntenic	OQU90879	high	frameshift_variant
SORBI_3001G067300	mRNA	0.8909828935923456	syntenic	OQU90882	high	frameshift_variant
SORBI_3001G070600	mRNA	0.8520235336067035	syntenic	OQU90899	high	frameshift_variant
SORBI_3001G076600	mRNA	0.7565989254846999	syntenic	OQU90928	high	frameshift_variant
SORBI_3001G077100	mRNA	0.9901639344262295	syntenic	EER90826	high	frameshift_variant
SORBI_3001G078700	mRNA	0.9658792650918635	syntenic	KXG37485	high	frameshift_variant
SORBI_3001G082400	mRNA	0.9242268041237114	syntenic	KXG37498	high	frameshift_variant
SORBI_3001G082800	mRNA	0.9916579770594369	syntenic	OQU90947	high	frameshift_variant
SORBI_3001G085800	mRNA	0.928298800436205	syntenic	KXG37531	high	frameshift_variant
SORBI_3001G085900	mRNA	0.8227496917385944	syntenic	OQU90967	high	frameshift_variant
SORBI_3001G088900	mRNA	0.8064176749079431	syntenic	EER90872	high	frameshift_variant
SORBI_3001G090100	mRNA	0.8895403377110694	syntenic	EER93458	high	frameshift_variant
SORBI_3001G092200	mRNA	0.8274023414860322	syntenic	OQU91004	high	frameshift_variant
SORBI_3001G095000	mRNA	0.8941055517477724	syntenic	EER90897	high	frameshift_variant
SORBI_3001G095200	mRNA	0.879471656576775	syntenic	KXG37592	high	frameshift_variant
SORBI_3001G095500	mRNA	0.7618483412322274	syntenic	EER93478	high	frameshift_variant
SORBI_3001G096900	mRNA	0.941834451901566	syntenic	OQU91026	high	frameshift_variant
SORBI_3001G097500	mRNA	0.9470676691729323	syntenic	KXG37605	high	frameshift_variant
SORBI_3001G098400	mRNA	0.7674846625766871	syntenic	KXG37618	high	frameshift_variant
SORBI_3001G098800	mRNA	0.8698717948717949	syntenic	OQU91037	high	frameshift_variant
SORBI_3001G102600	mRNA	0.765793528505393	syntenic	EER93513	high	frameshift_variant
SORBI_3001G104100	mRNA	0.8006482982171799	syntenic	EER93521	high	frameshift_variant
SORBI_3001G104500	mRNA	0.8758185787048266	syntenic	EER90936	high	frameshift_variant
SORBI_3001G107400	mRNA	0.8882521489971347	syntenic	KXG37671	high	frameshift_variant
SORBI_3001G107600	mRNA	0.9357874342651537	syntenic	KXG37673	high	frameshift_variant
SORBI_3001G110500	mRNA	0.9842331581462016	syntenic	KXG37691	high	frameshift_variant
SORBI_3001G115400	mRNA	0.9938837920489296	syntenic	OQU91108	high	frameshift_variant
SORBI_3001G116100	mRNA	0.7676831850910631	syntenic	EER93572	high	frameshift_variant
SORBI_3001G116600	mRNA	0.964367816091954	syntenic	EER90996	high	frameshift_variant
SORBI_3001G119700	mRNA	0.9628647214854111	syntenic	EER91011	high	frameshift_variant
SORBI_3001G121100	mRNA	0.8194653048963653	syntenic	KXG37753	high	frameshift_variant
SORBI_3001G121700	mRNA	0.8502392344497608	syntenic	EER93596	high	frameshift_variant
SORBI_3001G123201	mRNA	0.9152941176470588	syntenic	EER91026	high	frameshift_variant
SORBI_3001G128100	mRNA	0.9670958512160229	syntenic	OQU91161	high	frameshift_variant
SORBI_3001G137200	mRNA	0.7985074626865671	syntenic	KXG37846	high	frameshift_variant
SORBI_3001G140300	mRNA	0.8817204301075269	syntenic	EER93683	high	frameshift_variant
SORBI_3001G140600	mRNA	0.8113207547169812	syntenic	EER91092	high	frameshift_variant
SORBI_3001G145300	mRNA	0.892018779342723	syntenic	KXG37886	high	frameshift_variant
SORBI_3001G154900	mRNA	0.8748836728363147	syntenic	EER91167	high	frameshift_variant
SORBI_3001G155100	mRNA	0.8488129945855893	syntenic	OQU91272	high	frameshift_variant
SORBI_3001G157400	mRNA	0.9461805555555556	syntenic	EER91178	high	frameshift_variant
SORBI_3001G157700	mRNA	0.8799730276466622	syntenic	EER91181	high	frameshift_variant
SORBI_3001G157900	mRNA	0.7983293556085919	syntenic	EER93762	high	frameshift_variant
SORBI_3001G160100	mRNA	0.8906386701662292	syntenic	EER93770	high	frameshift_variant
SORBI_3001G162600	mRNA	0.9061224489795918	syntenic	KXG37984	high	frameshift_variant
SORBI_3001G163600	mRNA	0.9417131272174354	syntenic	OQU91330	high	frameshift_variant
SORBI_3001G168400	mRNA	0.8244298656669791	syntenic	EER91234	high	frameshift_variant
SORBI_3001G170800	mRNA	0.9376448283126185	syntenic	EER91249	high	frameshift_variant
SORBI_3001G171300	mRNA	0.9729574223245109	syntenic	KXG38049	high	frameshift_variant
